Event ID,Event Name,Date,Location,Organizer,Attendees,Registration Fee,Tickets Sold,Event Status,Event Duration (days),Ticket Categories,Revenue,Expenses,Profit/Loss,Ratings
E0192,Devolved disintermediate function,2023-10-01,Jamesmouth,Roy LLC,729,15,592,Ongoing,1,General,8880,17618,-8738,4.5
E0193,Organized methodical attitude,2023-10-06,Velazquezfurt,"Castillo, Nelson and Price",170,98,332,Completed,4,VIP,32536,15678,16858,4.0
E0194,Monitored bifurcated hierarchy,2023-09-03,Wilsonbury,Silva Group,127,10,175,Completed,2,General,1750,12236,-10486,4.2
E0195,Assimilated heuristic task-force,2023-10-06,North Amymouth,Bradford-Johnson,934,17,790,Upcoming,5,"VIP, General",13430,12650,780,3.1
E0196,Multi-tiered cohesive structure,2023-09-22,Tatefort,"Acosta, Martinez and Hall",221,73,54,Ongoing,2,General,3942,17949,-14007,3.9
E0197,Adaptive discrete hardware,2023-09-17,South Erikaberg,Harris Group,794,56,328,Completed,3,VIP,18368,19626,-1258,4.7
E0198,Self-enabling analyzing website,2023-09-16,North Sydneyburgh,Liu-Butler,686,74,282,Ongoing,1,"VIP, General",20868,10723,10145,3.0
E0199,Extended demand-driven task-force,2023-10-15,Rodriguezhaven,Fields-Stark,929,71,758,Upcoming,2,General,53818,13567,40251,3.2
E0200,Public-key global strategy,2023-08-27,East Tammyshire,"Bryan, Rodriguez and Kelly",624,93,592,Completed,1,VIP,55056,16525,38531,3.2
E0201,Down-sized modular benchmark,2023-08-29,Suarezburgh,Zimmerman Group,619,65,690,Upcoming,4,"VIP, General",44850,12051,32799,3.5
E0202,Ameliorated fault-tolerant throughput,2023-08-31,Evansmouth,Wagner-Lane,786,82,553,Ongoing,4,General,45346,16268,29078,4.8
E0203,Exclusive 24/7 open architecture,2023-09-09,East Kristy,Sosa-Roberts,634,66,940,Completed,3,VIP,62040,18661,43379,4.9
E0204,Extended coherent infrastructure,2023-08-30,Brittanyhaven,Walker LLC,592,99,460,Completed,4,General,45540,7374,38166,3.3
E0205,Vision-oriented methodical concept,2023-10-15,North Justinburgh,Palmer PLC,613,52,160,Upcoming,2,"VIP, General",8320,14378,-6058,4.3
E0206,Decentralized grid-enabled matrix,2023-08-30,North Cassandra,Murphy-Green,766,63,464,Ongoing,5,General,29232,9833,19399,4.1
E0207,Up-sized full-range adapter,2023-08-24,Martinhaven,Thornton-Johnson,609,71,227,Completed,1,VIP,16117,13583,2534,4.6
E0208,Robust uniform service-desk,2023-09-06,Kevinview,Castillo LLC,277,60,435,Ongoing,3,"VIP, General",26100,8069,18031,4.8
E0209,Enterprise-wide tangible system engine,2023-08-29,West Sandra,Vazquez Inc,766,16,253,Upcoming,5,General,4048,17804,-13756,3.2
E0210,Front-line system-worthy capability,2023-09-01,Hernandezmouth,"Jordan, Moreno and Burns",909,87,929,Completed,1,VIP,80823,6000,74823,4.2
E0211,Quality-focused human-resource paradigm,2023-10-13,New Joshua,Lewis-Gray,994,58,650,Upcoming,2,"VIP, General",37700,7923,29777,3.2
E0212,Open-architected dedicated success,2023-08-18,Maldonadobury,Patrick Group,498,59,783,Ongoing,4,General,46197,9886,36311,5.0
E0213,Programmable directional definition,2023-08-31,Hawkinshaven,Garcia-Holland,986,70,393,Completed,5,VIP,27510,13706,13804,4.4
E0214,Re-contextualized disintermediate portal,2023-10-15,Garyport,Scott Group,623,20,640,Completed,5,General,12800,14236,-1436,3.8
E0215,Reduced optimizing Internet solution,2023-08-25,Beltrantown,"Castro, Gonzalez and Hanson",566,61,583,Upcoming,3,"VIP, General",35563,5719,29844,4.8
E0216,Digitized foreground workforce,2023-09-10,Martinborough,Norton-Jackson,366,35,432,Ongoing,3,General,15120,9456,5664,3.1
E0217,Reactive asynchronous budgetary management,2023-09-09,East Taylor,Jenkins and Sons,534,97,814,Completed,1,VIP,78958,5339,73619,3.5
E0218,Face-to-face 4thgeneration core,2023-10-06,West Michele,"Rodriguez, Obrien and Benson",133,68,637,Ongoing,2,"VIP, General",43316,5097,38219,4.7
E0219,Horizontal neutral core,2023-10-11,Johnsonside,"Green, Christensen and Warren",564,67,684,Upcoming,4,General,45828,15108,30720,4.6
E0220,Vision-oriented bottom-line matrices,2023-09-03,Mercerstad,Woods-Smith,507,58,244,Completed,2,VIP,14152,11503,2649,3.8
E0221,Extended multimedia moratorium,2023-10-12,Kellymouth,"Small, Perez and Mason",688,63,559,Upcoming,4,"VIP, General",35217,13858,21359,3.5
E0222,Team-oriented client-server groupware,2023-09-19,Navarroville,Perez and Sons,105,22,710,Ongoing,3,General,15620,16675,-1055,3.6
E0223,Adaptive needs-based groupware,2023-09-13,East Tylerhaven,Wilson LLC,562,99,390,Completed,5,VIP,38610,17370,21240,4.8
E0224,Networked 24hour groupware,2023-09-24,Douglasmouth,"Manning, Day and Gonzalez",962,25,365,Completed,3,General,9125,6751,2374,4.0
E0225,Sharable full-range functionalities,2023-09-19,New Christopherhaven,Evans LLC,354,69,478,Upcoming,1,"VIP, General",32982,13278,19704,4.3
E0226,Quality-focused mobile hardware,2023-09-19,Petersborough,Butler Inc,701,58,735,Ongoing,4,General,42630,11391,31239,3.3
E0227,Persistent optimizing portal,2023-09-15,Margaretburgh,"Holmes, Delgado and Gay",673,43,554,Completed,1,VIP,23822,11942,11880,3.7
E0228,Object-based 4thgeneration product,2023-09-06,Debratown,"Farley, Carey and Hernandez",463,72,487,Ongoing,1,"VIP, General",35064,6637,28427,3.4
E0229,Devolved regional pricing structure,2023-09-06,East John,Miller-Reid,878,82,890,Upcoming,4,General,72980,8356,64624,3.5
E0230,Enhanced discrete customer loyalty,2023-09-06,Clarkville,"Wu, Jones and Bradley",252,56,943,Completed,3,VIP,52808,7399,45409,4.5
E0231,Customer-focused dedicated firmware,2023-09-20,New David,Meza-Cunningham,960,26,531,Upcoming,1,"VIP, General",13806,14513,-707,3.5
E0232,De-engineered leadingedge encoding,2023-08-20,Chenburgh,Davis LLC,563,92,690,Ongoing,5,General,63480,9920,53560,4.6
E0233,Balanced national structure,2023-09-29,Port Amychester,Liu-Zavala,629,100,655,Completed,3,VIP,65500,10647,54853,4.9
E0234,Ameliorated uniform policy,2023-09-23,North Jeremy,Shaffer-Mays,1000,24,133,Completed,2,General,3192,14485,-11293,4.8
E0235,Up-sized asymmetric leverage,2023-09-05,New Susanview,Rice-Gonzalez,977,38,335,Upcoming,2,"VIP, General",12730,7140,5590,4.1
E0236,Reverse-engineered didactic hierarchy,2023-09-09,New Kimberly,"Leonard, Thomas and Smith",708,74,222,Ongoing,5,General,16428,18950,-2522,3.9
E0237,Vision-oriented optimizing intranet,2023-08-31,Khanfurt,Vincent-Phillips,643,61,792,Completed,5,VIP,48312,8345,39967,4.1
E0238,Open-source web-enabled capability,2023-10-13,Lake Shannonside,"Harrington, Gibbs and Shelton",986,26,762,Ongoing,3,"VIP, General",19812,19458,354,3.7
E0239,Ameliorated discrete superstructure,2023-09-17,Martinezstad,Davis Group,495,100,833,Upcoming,2,General,83300,5279,78021,4.2
E0240,Open-architected analyzing matrix,2023-08-25,New Danielbury,"Woods, Nelson and Wheeler",574,80,641,Completed,2,VIP,51280,14810,36470,4.7
E0241,Total real-time archive,2023-08-27,East Ryanview,"Reyes, Dunn and Moran",111,49,669,Upcoming,4,"VIP, General",32781,12761,20020,5.0
E0242,Realigned grid-enabled parallelism,2023-09-11,New Wendy,Clark-Curry,926,32,894,Ongoing,3,General,28608,10006,18602,3.9
E0243,Persistent hybrid initiative,2023-10-05,East Dylan,"Martin, Grant and Hughes",108,86,823,Completed,4,VIP,70778,5498,65280,3.3
E0244,Self-enabling bi-directional orchestration,2023-08-22,Chasebury,Patterson-Hill,300,98,417,Completed,1,General,40866,7852,33014,4.9
E0245,Robust global array,2023-08-22,East Sheilashire,Shelton PLC,360,56,817,Upcoming,5,"VIP, General",45752,12225,33527,3.4
E0246,User-centric scalable success,2023-08-26,Lake Carol,Collins-Turner,686,75,459,Ongoing,2,General,34425,14962,19463,4.9
E0247,Assimilated 6thgeneration pricing structure,2023-09-03,Lake Michael,Stewart-Lee,466,77,897,Completed,1,VIP,69069,11197,57872,3.5
E0248,Synergized explicit archive,2023-09-11,West Jonathan,Wright PLC,342,32,269,Ongoing,5,"VIP, General",8608,19391,-10783,3.7
E0249,Integrated multi-state intranet,2023-10-03,East Jennifermouth,Brown-Thomas,574,56,921,Upcoming,3,General,51576,19684,31892,3.8
E0250,Vision-oriented zero tolerance throughput,2023-09-18,Paulachester,Simmons-Monroe,467,69,117,Completed,1,VIP,8073,5501,2572,3.9
